model,dataset,settings,Accuracy@1,Accuracy@2,Accuracy@3,Accuracy@4,Accuracy@5,Accuracy@6,Accuracy@7,Accuracy@8,Accuracy@9,Accuracy@10
sentence-transformers/all-MiniLM-L6-v2,PubMed filtered Dataset,"{'name': 'sentence-transformers/all-MiniLM-L6-v2', 'batch_size': 100, 'query_instruction': 'Instruct: Given a question, retrieve passages that answer the question.\nQuery:'}",0.54,0.54,0.54,0.52,0.53,0.57,0.59,0.59,0.6,0.6
mixedbread-ai/mxbai-embed-large-v1,PubMed filtered Dataset,"{'name': 'mixedbread-ai/mxbai-embed-large-v1', 'batch_size': 100, 'query_instruction': 'Instruct: Given a question, retrieve passages that answer the question.\nQuery:'}",0.85,0.73,0.74,0.7,0.7,0.71,0.72,0.72,0.73,0.73
nvidia/NV-Embed-v2,PubMed filtered Dataset,"{'name': 'nvidia/NV-Embed-v2', 'batch_size': 2, 'query_instruction': 'Instruct: Given a question, retrieve passages that answer the question.\nQuery:', 'model_kwargs': {'trust_remote_code': True, 'load_in_8bit': True, 'max_length': 32768}}",1.0,0.85,0.79,0.76,0.77,0.76,0.79,0.8,0.8,0.8
dunzhang/stella_en_1.5B_v5,PubMed filtered Dataset,"{'name': 'dunzhang/stella_en_1.5B_v5', 'batch_size': 2, 'query_instruction': 'Instruct: Given a web search query, retrieve relevant passages that answer the query.\nQuery:', 'model_kwargs': {'trust_remote_code': True}}",1.0,0.73,0.72,0.71,0.72,0.72,0.74,0.75,0.76,0.79
dunzhang/stella_en_1.5B_v5,PubMed filtered Dataset,"{'name': 'dunzhang/stella_en_1.5B_v5', 'batch_size': 2, 'query_instruction': 'Instruct: Given a web search query, retrieve relevant passages that answer the query.\nQuery:', 'model_kwargs': {'trust_remote_code': True, 'load_in_8bit': True}}",0.31,0.42,0.64,0.66,0.68,0.7,0.74,0.74,0.74,0.78
amazon.titan-embed-text-v2:0,PubMed filtered Dataset,"{'name': 'amazon.titan-embed-text-v2:0', 'query_instruction': 'Instruct: Given a question, retrieve passages that answer the question.\nQuery:', 'model_kwargs': {'aws': True, 'aws_creds_file': '/home/ubuntu/Multi-Agent-LLM-System-with-LangGraph-RAG-and-LangChain/config/config.ini', 'aws_config_name': 'BedRock_LLM_API'}}",0.77,0.73,0.62,0.65,0.67,0.67,0.7,0.72,0.73,0.73
sentence-transformers/all-MiniLM-L6-v2,PubMed filtered Dataset,"{'name': 'sentence-transformers/all-MiniLM-L6-v2', 'batch_size': 100}",0.62,0.58,0.51,0.47,0.57,0.55,0.54,0.57,0.61,0.61
mixedbread-ai/mxbai-embed-large-v1,PubMed filtered Dataset,"{'name': 'mixedbread-ai/mxbai-embed-large-v1', 'batch_size': 100}",1.0,0.92,0.77,0.7,0.74,0.77,0.77,0.79,0.79,0.79
nvidia/NV-Embed-v2,PubMed filtered Dataset,"{'name': 'nvidia/NV-Embed-v2', 'batch_size': 2, 'model_kwargs': {'trust_remote_code': True, 'load_in_8bit': True, 'max_length': 32768}}",1.0,0.81,0.74,0.72,0.72,0.74,0.74,0.76,0.76,0.79
dunzhang/stella_en_1.5B_v5,PubMed filtered Dataset,"{'name': 'dunzhang/stella_en_1.5B_v5', 'batch_size': 2, 'model_kwargs': {'trust_remote_code': True}}",1.0,0.81,0.72,0.69,0.71,0.72,0.74,0.77,0.81,0.81
amazon.titan-embed-text-v2:0,PubMed filtered Dataset,"{'name': 'amazon.titan-embed-text-v2:0', 'model_kwargs': {'aws': True, 'aws_creds_file': '/home/ubuntu/Multi-Agent-LLM-System-with-LangGraph-RAG-and-LangChain/config/config.ini', 'aws_config_name': 'BedRock_LLM_API'}}",1.0,0.81,0.69,0.67,0.69,0.67,0.67,0.68,0.7,0.73
